batch,arm,game,seed,done,step,train_eps,train_clears,norm_entropy,image_loss,periodic_n,periodic_clears,periodic_official,periodic_harness,e100_n,e100_clear_rate,e100_lo,e100_hi,e100_official,e100_official_mean,e100_levels_max
paired,warm,sb26,2,True,499104,502,1,0.9999797400766915,2.3963287805553772,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
paired,warm,sb26,3,True,496816,502,0,0.9999999403953552,0.7239880631951725,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
paired,warm,sb26,4,True,498608,502,0,0.9999999403953552,0.7283771685409896,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
paired,warm,tn36,2,False,500000,8054,0,0.9999999403953552,6.79888688694347,,,,,,,,,,,
paired,warm,tn36,3,False,499804,8054,0,0.9999999403953552,7.2596826714680605,,,,,,,,,,,
paired,warm,tn36,4,False,499907,8054,0,0.9999999403953552,7.276125986786449,,,,,,,,,,,
paired,warm,vc33,2,True,499948,9755,17,0.8084430083023127,0.10692260084763779,18,1,0.03571,0.05476,100,1.0,0.963,1.0,0.01036,0.00229,1
paired,warm,vc33,3,True,499921,9734,17,0.7266871963034977,0.14430041633772128,21,3,0.00143,0.00657,100,1.0,0.963,1.0,0.00151,0.00135,1
paired,warm,vc33,4,True,499877,9768,17,0.8547766101091427,0.09554626238077207,21,1,0.01036,0.04762,100,1.0,0.963,1.0,0.0216,0.01837,1
ppo,factored,cd82,0,True,499712,,,,,,,,,100,0.05,0.0215,0.1118,0.04762,0.00238,1
ppo,factored,cd82,1,True,499712,,,,,,,,,100,0.03,0.0103,0.0845,0.04762,0.00143,1
ppo,factored,cd82,2,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,factored,sp80,0,True,499712,,,,,,,,,100,0.04,0.0157,0.0984,0.04762,0.0019,1
ppo,factored,sp80,1,True,499712,,,,,,,,,100,0.1,0.0552,0.1744,0.04762,0.00476,1
ppo,factored,sp80,2,True,499712,,,,,,,,,100,0.15,0.0931,0.2328,0.04762,0.00714,1
ppo,flat,cd82,0,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,cd82,1,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,ft09,0,True,499712,,,,,,,,,100,0.15,0.0931,0.2328,0.00898,0.00033,1
ppo,flat,ft09,1,True,499712,,,,,,,,,100,0.15,0.0931,0.2328,0.00521,0.00039,1
ppo,flat,lf52,0,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,lf52,1,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,lp85,0,True,499712,,,,,,,,,100,0.15,0.0931,0.2328,0.00016,1e-05,1
ppo,flat,lp85,1,True,499712,,,,,,,,,100,0.08,0.0411,0.15,0.00038,1e-05,1
ppo,flat,ls20,0,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,ls20,1,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,r11l,0,True,499712,,,,,,,,,100,0.2,0.1334,0.2888,0.04762,0.00365,1
ppo,flat,r11l,1,True,499712,,,,,,,,,100,0.15,0.0931,0.2328,0.04762,0.0033,1
ppo,flat,sb26,0,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,sb26,1,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,tn36,0,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,tn36,1,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo,flat,vc33,0,True,499712,,,,,,,,,100,0.05,0.0215,0.1118,0.0054,0.0001,1
ppo,flat,vc33,1,True,499712,,,,,,,,,100,0.0,0.0,0.037,0.0,0.0,0
ppo-smoke,factored,cd82,0,True,19456,,,,,,,,,20,0.0,0,0.1611,0.0,0.0,0
ppo-smoke,flat,vc33,0,True,19456,,,,,,,,,20,0.0,0,0.1611,0.0,0.0,0
ratio512,cold,cd82,0,True,499344,5001,0,0.9999999436465177,0.007160040419760414,232,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
ratio512,cold,cd82,1,True,499344,5002,0,0.9999999406713026,0.006553529432966132,232,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
ratio512,cold,lf52,0,False,375632,5582,0,0.9999999434307769,0.053801415841681535,,,,,,,,,,,
ratio512,cold,lf52,1,False,375664,5593,0,0.9999999445345666,0.05759991044868474,,,,,,,,,,,
ratio512,cold,ls20,0,False,365696,396,0,0.9999999485232614,0.04256078635173088,,,,,,,,,,,
ratio512,cold,ls20,1,False,363920,396,0,0.9999999460848895,0.0422065272165293,,,,,,,,,,,
ratio512,cold,sb26,0,True,499424,556,0,0.9999999439174478,0.08548326136713678,240,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
ratio512,cold,sb26,1,True,499456,556,0,0.9999999406662854,0.07943594213575125,240,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
ratio512,cold,tn36,0,False,382352,6190,0,0.999999942698262,0.8173603976314718,,,,,,,,,,,
ratio512,cold,tn36,1,False,382320,6189,0,0.9999999485358044,0.8290334296309285,,,,,,,,,,,
ratio512,cold,vc33,0,True,499873,6974,34,0.8185331760043347,0.03303506500863781,203,8,0.03571,0.05476,100,1.0,0.963,1.0,0.03571,0.03563,1
ratio512,cold,vc33,1,True,499644,9498,17,0.15179332386811867,0.08415729284980426,219,2,0.03571,0.05476,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,cd82,0,True,499921,4939,4934,0.2907323150940544,2.531996865697953,21,1,0.04762,0.05476,100,0.0,0.0,0.037,0.0,0.0,0
shape001,cold,cd82,1,True,499888,4942,4937,0.0569951354678887,3.5263401333298257,23,3,0.04762,0.05476,100,1.0,0.963,1.0,0.04762,0.04762,1
